Year,Quarter,Month,Day,Sum of Sales,forecastValue,confidenceHighBound,confidenceLowBound
2019,Qtr 1,January,1,73.94,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,2,405.92,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,3,2095.83,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,4,1069.22,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,5,255.904,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,7,83.576,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,8,1859.158,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,9,743.046,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,10,174.75,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,11,149.444,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,14,405.344,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,15,701.923,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,16,102.218,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,17,1040.55,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,21,1167.056,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,22,917.63,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,23,1732.3,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,24,31.36,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,25,858.712,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,28,39.68,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,30,3107.316,Noforecast,Noforecast,Noforecast
2019,Qtr 1,January,31,1601.554,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,1,1161.97,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,2,4996.784,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,3,866.4,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,4,197.868,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,5,2994.476,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,6,132.224,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,7,762.142,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,8,1369.476,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,9,121.83,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,11,69.93,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,12,1366.04,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,13,146.82,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,14,837.921,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,15,407.072,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,16,1135.638,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,19,392.66,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,20,16.496,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,21,1524.126,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,22,983.17,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,23,57.576,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,25,46.72,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,27,243.892,Noforecast,Noforecast,Noforecast
2019,Qtr 1,February,28,147.584,Noforecast,Noforecast,Noforecast
